Question_Text,Subject,Topic,Difficulty
"Detail the molecular mechanism of the lac operon model in Escherichia coli. Explain the role of the regulator, promoter, operator, and structural genes under lactose-absent and lactose-present conditions.",Biology,Genetics,Hard
Can you explain: Identify the functional group present in carboxylic acids.,Chemistry,Organic Chemistry,Easy
"Critically evaluate and solve: Find the equation of the tangent and normal to the curve x^(2/3) + y^(2/3) = a^(2/3) at the point (x1, y1).",Mathematics,Calculus,Hard
Can you explain: What is an ideal solution? Give an example.,Chemistry,Physical Chemistry,Easy
Can you explain: State the first law of thermodynamics in mathematical form.,Physics,Thermodynamics,Easy
"Critically evaluate and solve: Explain the band theory of metals, semiconductors, and insulators, detailing the role of doping (n-type and p-type) with appropriate examples from Group 13 and 15 elements.",Chemistry,Inorganic Chemistry,Hard
Solve the following question: Explain the sliding filament theory of muscle contraction.,Biology,Human Physiology,Medium
"State clearly: Find the midpoint of the line segment joining (2, 8) and (6, 2).",Mathematics,Coordinate Geometry,Easy
For JEE/NEET preparation: Find the term independent of x in the expansion of (2x + 1/(3x^2))^9.,Mathematics,Algebra,Medium
"Find the equation of the tangent to the parabola y^2 = 8x at the point (2, 4).",Mathematics,Coordinate Geometry,Medium
"Advanced problem: In an LCR series circuit connected to an AC source V = V_0 sin(wt), find the resonance frequency, power factor, and quality factor Q when R = 10 ohms, L = 2 H, and C = 5 uF. Show detailed steps.",Physics,Electrodynamics,Hard
For JEE/NEET preparation: Determine the area bounded by the curve y = x^2 and the line y = 4.,Mathematics,Calculus,Medium
Can you explain: What is the acceleration due to gravity on the surface of the Earth?,Physics,Mechanics,Easy
State clearly: Solve the quadratic equation: x^2 - 5x + 6 = 0.,Mathematics,Algebra,Easy
"Calculate the packing efficiency of a body-centered cubic (BCC) and face-centered cubic (FCC) lattice, proving the mathematical relation between edge length 'a' and atomic radius 'r'.",Chemistry,Physical Chemistry,Hard
For JEE/NEET preparation: A Carnot engine operates between temperatures 300 K and 600 K. Find its efficiency.,Physics,Thermodynamics,Medium
State the first law of thermodynamics in mathematical form.,Physics,Thermodynamics,Easy
Advanced problem: A cylinder of mass M and radius R rolls without slipping down an inclined plane of angle theta. Determine the acceleration of its center of mass using torque analysis. Show detailed steps.,Physics,Mechanics,Hard
"Identify which of the following is a scalar quantity: work, force, acceleration.",Physics,Mechanics,Easy
"Can you explain: Identify which of the following is a scalar quantity: work, force, acceleration.",Physics,Mechanics,Easy
"Discuss the diagonal relationship between Lithium and Magnesium, explaining the anomalies in their carbonates, nitrides, and fluorides.",Chemistry,Inorganic Chemistry,Hard
"Advanced problem: Find the equation of the tangent and normal to the curve x^(2/3) + y^(2/3) = a^(2/3) at the point (x1, y1). Show detailed steps.",Mathematics,Calculus,Hard
Advanced problem: A double pendulum consists of two masses m1 and m2 connected by light strings of length l1 and l2. Derive the Lagrangian and calculate the equations of motion. Show detailed steps.,Physics,Mechanics,Hard
Evaluate the integral of x * ln(x) dx using integration by parts.,Mathematics,Calculus,Medium
"Analyze the competitive exclusion principle proposed by Gause, and explain resource partitioning as a mechanism for co-existence in ecological niches with real examples.",Biology,Ecology,Hard
"Advanced problem: Explain the digestion and absorption of fats in the human gastrointestinal tract, detailing the role of bile salts, micelle formation, pancreatic lipase, and chylomicron transport in lacteals. Show detailed steps.",Biology,Human Physiology,Hard
"Critically evaluate and solve: If z = x + iy is a complex number satisfying |z - 1| = 2|z + 1|, show that the locus of z is a circle and find its center and radius.",Mathematics,Algebra,Hard
Critically evaluate and solve: A spaceship is orbiting earth at distance 2R. An astronaut ejects a capsule with relative velocity v_0. Find the condition for the capsule to escape earth's gravity.,Physics,Mechanics,Hard
Advanced problem: Find the equation of the common tangent to the circle x^2 + y^2 = 8 and the parabola y^2 = 16x. Show detailed steps.,Mathematics,Coordinate Geometry,Hard
State clearly: State Ohm's Law and define resistance.,Physics,Electrodynamics,Easy
An ideal gas undergoes an isothermal expansion from volume V to 3V. Calculate the work done by the gas.,Physics,Thermodynamics,Medium
For JEE/NEET preparation: Find the change in internal energy when 2 moles of an ideal diatomic gas are heated from 20 to 100 degrees Celsius at constant volume.,Physics,Thermodynamics,Medium
State clearly: Define isomerism with an example.,Chemistry,Organic Chemistry,Easy
Critically evaluate and solve: Show that the line lx + my + n = 0 touches the ellipse x^2/a^2 + y^2/b^2 = 1 if a^2*l^2 + b^2*m^2 = n^2.,Mathematics,Coordinate Geometry,Hard
What is the acceleration due to gravity on the surface of the Earth?,Physics,Mechanics,Easy
State Coulomb's Law of electrostatics.,Physics,Electrodynamics,Easy
Determine the number of permutations of the letters in the word 'MATHEMATICS'.,Mathematics,Algebra,Medium
